    current_date,flight_number, price, date, from, to
    2024-06-11 17:22:10, FR 6687, 407.3, 2024-06-22, AGA, TNG
    2024-06-11 17:22:31, FR 6687, 407.3, 2024-06-22, AGA, TNG
    2024-06-11 17:32:56, FR 6687, 407.3, 2024-06-22, AGA, TNG
    2024-06-11 17:33:40, FR 6687, 407.3, 2024-06-22, AGA, TNG
    2024-06-11 17:38:08, FR 6687, 407.3, 2024-06-22, AGA, TNG
    2024-06-11 17:41:46, FR 6687, 450.04, 2024-06-24, AGA, TNG
    2024-06-11 19:46:28, FR 6687, 449.08, 2024-06-22, AGA, TNG
    2024-06-11 19:47:22, FR 6687, 450.04, 2024-06-24, AGA, TNG
    2024-06-11 21:03:00, FR 6687, 396.85, 2024-06-22, AGA, TNG
    2024-06-11 21:03:53, FR 6687, 450.04, 2024-06-24, AGA, TNG
    2024-06-11 21:36:24, FR 6687, 396.85, 2024-06-22, AGA, TNG
    2024-06-11 21:36:36, FR 6687, 450.04, 2024-06-24, AGA, TNG
    2024-06-11 22:36:36, FR 6687, 396.85, 2024-06-22, AGA, TNG
    2024-06-11 22:36:41, FR 6687, 450.04, 2024-06-24, AGA, TNG
    2024-06-11 23:52:23, FR 6687, 407.3, 2024-06-22, AGA, TNG
    2024-06-11 23:52:25, FR 6687, 450.04, 2024-06-24, AGA, TNG
    2024-06-12 01:02:43, FR 6687, 450.04, 2024-06-24, AGA, TNG
    2024-06-12 01:02:44, FR 6687, 365.52, 2024-06-22, AGA, TNG
    2024-06-12 11:04:02, FR 6687, 536.5, 2024-06-24, AGA, TNG
    2024-06-12 11:04:43, FR 6687, 344.62, 2024-06-22, AGA, TNG
    2024-06-12 12:04:21, FR 6687, 536.5, 2024-06-24, AGA, TNG
    2024-06-12 12:05:01, FR 6687, 344.62, 2024-06-22, AGA, TNG
2024-06-12 13:04:28, FR 6687, 536.5, 2024-06-24, AGA, TNG
2024-06-12 14:04:36, FR 6687, 536.5, 2024-06-24, AGA, TNG
2024-06-12 15:04:43, FR 6687, 536.5, 2024-06-24, AGA, TNG
2024-06-12 16:04:53, FR 6687, 536.5, 2024-06-24, AGA, TNG
2024-06-12 17:19:03, FR 6687, 536.5, 2024-06-24, AGA, TNG
2024-06-12 19:09:43, FR 6687, 536.5, 2024-06-24, AGA, TNG
2024-06-12 20:10:04, FR 6687, 536.5, 2024-06-24, AGA, TNG
2024-06-12 21:10:16, FR 6687, 536.5, 2024-06-24, AGA, TNG
2024-06-12 22:10:22, FR 6687, 536.5, 2024-06-24, AGA, TNG
2024-06-12 23:34:05, FR 6687, 536.5, 2024-06-24, AGA, TNG
